rowid	MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters	qiita_sample_name	UniqueSubjectID	LifeStage	UBERONOntologyIndex	DOIDOntologyIndex	ATTRJBUTE_Clade	ATTRIBUTE_Genus	ATTRIBUTE_BrazilianBiome	ENVOEnvironmentBiome	ATTRIBUTE_WorldwideBiome	ATTRIBUTE_Humidity	ATTRIBUTE_CollectionSeason	ATTRIBUTE_Habit	ATTRIBUTE_PlantPart	id
681	MSV000085119	P4_F8_GF8_01_54462.mzXML	plant	plant_angiospermae	1801593|Byrsonima sericea	2020	solid material, dried	ethyl acetate (100%)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (negative)	reverse phase (C18)	63		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	04/01/2015 12:00	Brazil	not applicable	-22.93502|-43.51825			MSV000085119_63	not applicable	not applicable	not applicable	A	Byrsonima	Atlantic forest	tropical moist broadleaf forest biome	Rainforest	Humid	Fall	Tree	leaf	680
75	MSV000085119	P1_G7_GG7_02_53491.mzXML	plant	plant_angiospermae	1801601|Diacidia aracaensis	2020	solid material, dried	ethanol-water (4:1)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (positive)	reverse phase (C18)	73		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	04/20/2014 12:00	Brazil	not applicable	-0.98183|-62.93916			MSV000085119_73	not applicable	not applicable	not applicable	A	Diacidia	Amazon rainforest	tropical moist broadleaf forest biome	Rainforest	Humid	Fall	Shrub	leaf	74
293	MSV000085119	P4_G7_BG7_01_53901.mzXML	plant	plant_angiospermae	1801601|Diacidia aracaensis	2020	solid material, dried	ethyl acetate (100%)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (positive)	reverse phase (C18)	73		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	04/20/2014 12:00	Brazil	not applicable	-0.98183|-62.93916			MSV000085119_73	not applicable	not applicable	not applicable	A	Diacidia	Amazon rainforest	tropical moist broadleaf forest biome	Rainforest	Humid	Fall	Shrub	leaf	292
473	MSV000085119	P1_G7_BG7_01_54194.mzXML	plant	plant_angiospermae	1801601|Diacidia aracaensis	2020	solid material, dried	ethanol-water (4:1)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (negative)	reverse phase (C18)	73		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	04/20/2014 12:00	Brazil	not applicable	-0.98183|-62.93916			MSV000085119_73	not applicable	not applicable	not applicable	A	Diacidia	Amazon rainforest	tropical moist broadleaf forest biome	Rainforest	Humid	Fall	Shrub	leaf	472
691	MSV000085119	P4_G7_GG7_01_54474.mzXML	plant	plant_angiospermae	1801601|Diacidia aracaensis	2020	solid material, dried	ethyl acetate (100%)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (negative)	reverse phase (C18)	73		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	04/20/2014 12:00	Brazil	not applicable	-0.98183|-62.93916			MSV000085119_73	not applicable	not applicable	not applicable	A	Diacidia	Amazon rainforest	tropical moist broadleaf forest biome	Rainforest	Humid	Fall	Shrub	leaf	690
151	MSV000085119	P2_F6_BF6_01_53715.mzXML	plant	plant_angiospermae	1804184|Stigmaphyllon acuminatum	2020	solid material, dried	ethanol-water (4:1)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (positive)	reverse phase (C18)	149		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	10/20/2015 12:00	Brazil	not applicable	-21.06261|-41.36252			MSV000085119_149	not applicable	not applicable	not applicable	J	Stigmaphyllon	Atlantic forest	tropical moist broadleaf forest biome	Rainforest	Humid	Spring	Liana	leaf	150
369	MSV000085119	P5_F6_GF6_01_53998.mzXML	plant	plant_angiospermae	1804184|Stigmaphyllon acuminatum	2020	solid material, dried	ethyl acetate (100%)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (positive)	reverse phase (C18)	149		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	10/20/2015 12:00	Brazil	not applicable	-21.06261|-41.36252			MSV000085119_149	not applicable	not applicable	not applicable	J	Stigmaphyllon	Atlantic forest	tropical moist broadleaf forest biome	Rainforest	Humid	Spring	Liana	leaf	368
549	MSV000085119	P2_F6_GF6_01_54289.mzXML	plant	plant_angiospermae	1804184|Stigmaphyllon acuminatum	2020	solid material, dried	ethanol-water (4:1)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (negative)	reverse phase (C18)	149		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	10/20/2015 12:00	Brazil	not applicable	-21.06261|-41.36252			MSV000085119_149	not applicable	not applicable	not applicable	J	Stigmaphyllon	Atlantic forest	tropical moist broadleaf forest biome	Rainforest	Humid	Spring	Liana	leaf	548
767	MSV000085119	P5_F6_BF6_01_54569.mzXML	plant	plant_angiospermae	1804184|Stigmaphyllon acuminatum	2020	solid material, dried	ethyl acetate (100%)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (negative)	reverse phase (C18)	149		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	10/20/2015 12:00	Brazil	not applicable	-21.06261|-41.36252			MSV000085119_149	not applicable	not applicable	not applicable	J	Stigmaphyllon	Atlantic forest	tropical moist broadleaf forest biome	Rainforest	Humid	Spring	Liana	leaf	766
152	MSV000085119	P2_F7_BF7_01_53716.mzXML	plant	plant_angiospermae	1804185|Stigmaphyllon alternifolium	2020	solid material, dried	ethanol-water (4:1)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (positive)	reverse phase (C18)	150		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	11/17/2011 12:00	Brazil	not applicable	-20.62212|-41.68330			MSV000085119_150	not applicable	not applicable	not applicable	J	Stigmaphyllon	Atlantic forest	tropical moist broadleaf forest biome	Rainforest	Humid	Spring	Liana	leaf	151
370	MSV000085119	P5_F7_GF7_01_53999.mzXML	plant	plant_angiospermae	1804185|Stigmaphyllon alternifolium	2020	solid material, dried	ethyl acetate (100%)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (positive)	reverse phase (C18)	150		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	11/17/2011 12:00	Brazil	not applicable	-20.62212|-41.68330			MSV000085119_150	not applicable	not applicable	not applicable	J	Stigmaphyllon	Atlantic forest	tropical moist broadleaf forest biome	Rainforest	Humid	Spring	Liana	leaf	369
550	MSV000085119	P2_F7_BD4_01_54697.mzXML	plant	plant_angiospermae	1804185|Stigmaphyllon alternifolium	2020	solid material, dried	ethanol-water (4:1)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (negative)	reverse phase (C18)	150		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	11/17/2011 12:00	Brazil	not applicable	-20.62212|-41.68330			MSV000085119_150	not applicable	not applicable	not applicable	J	Stigmaphyllon	Atlantic forest	tropical moist broadleaf forest biome	Rainforest	Humid	Spring	Liana	leaf	549
768	MSV000085119	P5_F7_BF7_01_54570.mzXML	plant	plant_angiospermae	1804185|Stigmaphyllon alternifolium	2020	solid material, dried	ethyl acetate (100%)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (negative)	reverse phase (C18)	150		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	11/17/2011 12:00	Brazil	not applicable	-20.62212|-41.68330			MSV000085119_150	not applicable	not applicable	not applicable	J	Stigmaphyllon	Atlantic forest	tropical moist broadleaf forest biome	Rainforest	Humid	Spring	Liana	leaf	767
153	MSV000085119	P2_F8_BF8_01_53717.mzXML	plant	plant_angiospermae	1804186|Stigmaphyllon angustilobum	2020	solid material, dried	ethanol-water (4:1)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (positive)	reverse phase (C18)	151		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	11/17/2011 12:00	Brazil	not applicable	-20.62212|-41.68330			MSV000085119_151	not applicable	not applicable	not applicable	J	Stigmaphyllon	Atlantic forest	tropical moist broadleaf forest biome	Rainforest	Humid	Spring	Liana	leaf	152
371	MSV000085119	P5_F8_GF8_01_54000.mzXML	plant	plant_angiospermae	1804186|Stigmaphyllon angustilobum	2020	solid material, dried	ethyl acetate (100%)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (positive)	reverse phase (C18)	151		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	11/17/2011 12:00	Brazil	not applicable	-20.62212|-41.68330			MSV000085119_151	not applicable	not applicable	not applicable	J	Stigmaphyllon	Atlantic forest	tropical moist broadleaf forest biome	Rainforest	Humid	Spring	Liana	leaf	370
551	MSV000085119	P2_F8_BD5_01_54662.mzXML	plant	plant_angiospermae	1804186|Stigmaphyllon angustilobum	2020	solid material, dried	ethanol-water (4:1)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (negative)	reverse phase (C18)	151		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	11/17/2011 12:00	Brazil	not applicable	-20.62212|-41.68330			MSV000085119_151	not applicable	not applicable	not applicable	J	Stigmaphyllon	Atlantic forest	tropical moist broadleaf forest biome	Rainforest	Humid	Spring	Liana	leaf	550
769	MSV000085119	P5_F8_BF8_01_54571.mzXML	plant	plant_angiospermae	1804186|Stigmaphyllon angustilobum	2020	solid material, dried	ethyl acetate (100%)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (negative)	reverse phase (C18)	151		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	11/17/2011 12:00	Brazil	not applicable	-20.62212|-41.68330			MSV000085119_151	not applicable	not applicable	not applicable	J	Stigmaphyllon	Atlantic forest	tropical moist broadleaf forest biome	Rainforest	Humid	Spring	Liana	leaf	768
155	MSV000085119	P2_F10_BB1_01_54623.mzXML	plant	plant_angiospermae	1804190|Stigmaphyllon blanchetii	2020	solid material, dried	ethanol-water (4:1)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (positive)	reverse phase (C18)	153		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	01/23/2012 12:00	Brazil	not applicable	-18.56977|-39.74115			MSV000085119_153	not applicable	not applicable	not applicable	J	Stigmaphyllon	Atlantic forest	tropical moist broadleaf forest biome	Rainforest	Humid	Summer	Liana	leaf	154
373	MSV000085119	P5_F10_GF10_01_54002.mzXML	plant	plant_angiospermae	1804190|Stigmaphyllon blanchetii	2020	solid material, dried	ethyl acetate (100%)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (positive)	reverse phase (C18)	153		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	01/23/2012 12:00	Brazil	not applicable	-18.56977|-39.74115			MSV000085119_153	not applicable	not applicable	not applicable	J	Stigmaphyllon	Atlantic forest	tropical moist broadleaf forest biome	Rainforest	Humid	Summer	Liana	leaf	372
553	MSV000085119	P2_F10_GF10_01_54293.mzXML	plant	plant_angiospermae	1804190|Stigmaphyllon blanchetii	2020	solid material, dried	ethanol-water (4:1)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (negative)	reverse phase (C18)	153		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	01/23/2012 12:00	Brazil	not applicable	-18.56977|-39.74115			MSV000085119_153	not applicable	not applicable	not applicable	J	Stigmaphyllon	Atlantic forest	tropical moist broadleaf forest biome	Rainforest	Humid	Summer	Liana	leaf	552
771	MSV000085119	P5_F10_BF10_01_54573.mzXML	plant	plant_angiospermae	1804190|Stigmaphyllon blanchetii	2020	solid material, dried	ethyl acetate (100%)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (negative)	reverse phase (C18)	153		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	01/23/2012 12:00	Brazil	not applicable	-18.56977|-39.74115			MSV000085119_153	not applicable	not applicable	not applicable	J	Stigmaphyllon	Atlantic forest	tropical moist broadleaf forest biome	Rainforest	Humid	Summer	Liana	leaf	770
156	MSV000085119	P2_F11_BF11_01_53720.mzXML	plant	plant_angiospermae	1804191|Stigmaphyllon bonariense	2020	solid material, dried	ethanol-water (4:1)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (positive)	reverse phase (C18)	154		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	12/01/2007 12:00	Argentina	not applicable	-27.46826|-58.82878			MSV000085119_154	not applicable	not applicable	not applicable	J	Stigmaphyllon	Atlantic forest	tropical moist broadleaf forest biome	Rainforest	Humid	Spring	Liana	leaf	155
374	MSV000085119	P5_F11_GF11_01_54003.mzXML	plant	plant_angiospermae	1804191|Stigmaphyllon bonariense	2020	solid material, dried	ethyl acetate (100%)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (positive)	reverse phase (C18)	154		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	12/01/2007 12:00	Argentina	not applicable	-27.46826|-58.82878			MSV000085119_154	not applicable	not applicable	not applicable	J	Stigmaphyllon	Atlantic forest	tropical moist broadleaf forest biome	Rainforest	Humid	Spring	Liana	leaf	373
554	MSV000085119	P2_F11_GF11_01_54294.mzXML	plant	plant_angiospermae	1804191|Stigmaphyllon bonariense	2020	solid material, dried	ethanol-water (4:1)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (negative)	reverse phase (C18)	154		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	12/01/2007 12:00	Argentina	not applicable	-27.46826|-58.82878			MSV000085119_154	not applicable	not applicable	not applicable	J	Stigmaphyllon	Atlantic forest	tropical moist broadleaf forest biome	Rainforest	Humid	Spring	Liana	leaf	553
772	MSV000085119	P5_F11_BF11_01_54574.mzXML	plant	plant_angiospermae	1804191|Stigmaphyllon bonariense	2020	solid material, dried	ethyl acetate (100%)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (negative)	reverse phase (C18)	154		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	12/01/2007 12:00	Argentina	not applicable	-27.46826|-58.82878			MSV000085119_154	not applicable	not applicable	not applicable	J	Stigmaphyllon	Atlantic forest	tropical moist broadleaf forest biome	Rainforest	Humid	Spring	Liana	leaf	771
159	MSV000085119	P2_G3_BG3_01_53725.mzXML	plant	plant_angiospermae	1804193|Stigmaphyllon cavernulosum	2020	solid material, dried	ethanol-water (4:1)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (positive)	reverse phase (C18)	157		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	06/04/2012 12:00	Brazil	not applicable	-12.96441|-38.42194			MSV000085119_157	not applicable	not applicable	not applicable	J	Stigmaphyllon	Atlantic forest	tropical moist broadleaf forest biome	Rainforest	Humid	Fall	Liana	leaf	158
377	MSV000085119	P5_G3_GG3_01_54008.mzXML	plant	plant_angiospermae	1804193|Stigmaphyllon cavernulosum	2020	solid material, dried	ethyl acetate (100%)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (positive)	reverse phase (C18)	157		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	06/04/2012 12:00	Brazil	not applicable	-12.96441|-38.42194			MSV000085119_157	not applicable	not applicable	not applicable	J	Stigmaphyllon	Atlantic forest	tropical moist broadleaf forest biome	Rainforest	Humid	Fall	Liana	leaf	376
557	MSV000085119	P2_G3_GG3_01_54299.mzXML	plant	plant_angiospermae	1804193|Stigmaphyllon cavernulosum	2020	solid material, dried	ethanol-water (4:1)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (negative)	reverse phase (C18)	157		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	06/04/2012 12:00	Brazil	not applicable	-12.96441|-38.42194			MSV000085119_157	not applicable	not applicable	not applicable	J	Stigmaphyllon	Atlantic forest	tropical moist broadleaf forest biome	Rainforest	Humid	Fall	Liana	leaf	556
775	MSV000085119	P5_G3_BG3_01_54579.mzXML	plant	plant_angiospermae	1804193|Stigmaphyllon cavernulosum	2020	solid material, dried	ethyl acetate (100%)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (negative)	reverse phase (C18)	157		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	06/04/2012 12:00	Brazil	not applicable	-12.96441|-38.42194			MSV000085119_157	not applicable	not applicable	not applicable	J	Stigmaphyllon	Atlantic forest	tropical moist broadleaf forest biome	Rainforest	Humid	Fall	Liana	leaf	774
162	MSV000085119	P2_G6_BG6_01_53728.mzXML	plant	plant_angiospermae	1804194|Stigmaphyllon convolvulifolium	2020	solid material, dried	ethanol-water (4:1)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (positive)	reverse phase (C18)	160		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	03/14/2013 12:00	Brazil	not applicable	-9.96786|-55.82356			MSV000085119_160	not applicable	not applicable	not applicable	J	Stigmaphyllon	Amazon rainforest	tropical moist broadleaf forest biome	Rainforest	Humid	Summer	Liana	leaf	161
380	MSV000085119	P5_G6_GG6_01_54011.mzXML	plant	plant_angiospermae	1804194|Stigmaphyllon convolvulifolium	2020	solid material, dried	ethyl acetate (100%)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (positive)	reverse phase (C18)	160		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	03/14/2013 12:00	Brazil	not applicable	-9.96786|-55.82356			MSV000085119_160	not applicable	not applicable	not applicable	J	Stigmaphyllon	Amazon rainforest	tropical moist broadleaf forest biome	Rainforest	Humid	Summer	Liana	leaf	379
560	MSV000085119	P2_G6_BD8_01_54665.mzXML	plant	plant_angiospermae	1804194|Stigmaphyllon convolvulifolium	2020	solid material, dried	ethanol-water (4:1)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (negative)	reverse phase (C18)	160		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	03/14/2013 12:00	Brazil	not applicable	-9.96786|-55.82356			MSV000085119_160	not applicable	not applicable	not applicable	J	Stigmaphyllon	Amazon rainforest	tropical moist broadleaf forest biome	Rainforest	Humid	Summer	Liana	leaf	559
778	MSV000085119	P5_G6_BG6_01_54582.mzXML	plant	plant_angiospermae	1804194|Stigmaphyllon convolvulifolium	2020	solid material, dried	ethyl acetate (100%)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (negative)	reverse phase (C18)	160		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	03/14/2013 12:00	Brazil	not applicable	-9.96786|-55.82356			MSV000085119_160	not applicable	not applicable	not applicable	J	Stigmaphyllon	Amazon rainforest	tropical moist broadleaf forest biome	Rainforest	Humid	Summer	Liana	leaf	777
163	MSV000085119	P2_G7_BG7_01_53729.mzXML	plant	plant_angiospermae	1804195|Stigmaphyllon gayanum	2020	solid material, dried	ethanol-water (4:1)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (positive)	reverse phase (C18)	161		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	11/17/2011 12:00	Brazil	not applicable	-20.62212|-41.68330			MSV000085119_161	not applicable	not applicable	not applicable	J	Stigmaphyllon	Atlantic forest	tropical moist broadleaf forest biome	Rainforest	Humid	Spring	Liana	leaf	162
381	MSV000085119	P5_G7_GG7_01_54012.mzXML	plant	plant_angiospermae	1804195|Stigmaphyllon gayanum	2020	solid material, dried	ethyl acetate (100%)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (positive)	reverse phase (C18)	161		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	11/17/2011 12:00	Brazil	not applicable	-20.62212|-41.68330			MSV000085119_161	not applicable	not applicable	not applicable	J	Stigmaphyllon	Atlantic forest	tropical moist broadleaf forest biome	Rainforest	Humid	Spring	Liana	leaf	380
561	MSV000085119	P2_G7_GG7_01_54303.mzXML	plant	plant_angiospermae	1804195|Stigmaphyllon gayanum	2020	solid material, dried	ethanol-water (4:1)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (negative)	reverse phase (C18)	161		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	11/17/2011 12:00	Brazil	not applicable	-20.62212|-41.68330			MSV000085119_161	not applicable	not applicable	not applicable	J	Stigmaphyllon	Atlantic forest	tropical moist broadleaf forest biome	Rainforest	Humid	Spring	Liana	leaf	560
779	MSV000085119	P5_G7_BG7_01_54583.mzXML	plant	plant_angiospermae	1804195|Stigmaphyllon gayanum	2020	solid material, dried	ethyl acetate (100%)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (negative)	reverse phase (C18)	161		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	11/17/2011 12:00	Brazil	not applicable	-20.62212|-41.68330			MSV000085119_161	not applicable	not applicable	not applicable	J	Stigmaphyllon	Atlantic forest	tropical moist broadleaf forest biome	Rainforest	Humid	Spring	Liana	leaf	778
165	MSV000085119	P2_G9_BG9_01_53731.mzXML	plant	plant_angiospermae	1804197|Stigmaphyllon hatschbachii	2020	solid material, dried	ethanol-water (4:1)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (positive)	reverse phase (C18)	163		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	09/01/2015 12:00	Brazil	not applicable	-13.68629|-39.47950			MSV000085119_163	not applicable	not applicable	not applicable	J	Stigmaphyllon	Atlantic forest	tropical moist broadleaf forest biome	Rainforest	Humid	Spring	Liana	leaf	164
383	MSV000085119	P5_G9_GG9_01_54014.mzXML	plant	plant_angiospermae	1804197|Stigmaphyllon hatschbachii	2020	solid material, dried	ethyl acetate (100%)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (positive)	reverse phase (C18)	163		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	09/01/2015 12:00	Brazil	not applicable	-13.68629|-39.47950			MSV000085119_163	not applicable	not applicable	not applicable	J	Stigmaphyllon	Atlantic forest	tropical moist broadleaf forest biome	Rainforest	Humid	Spring	Liana	leaf	382
563	MSV000085119	P2_G9_GG9_01_54305.mzXML	plant	plant_angiospermae	1804197|Stigmaphyllon hatschbachii	2020	solid material, dried	ethanol-water (4:1)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (negative)	reverse phase (C18)	163		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	09/01/2015 12:00	Brazil	not applicable	-13.68629|-39.47950			MSV000085119_163	not applicable	not applicable	not applicable	J	Stigmaphyllon	Atlantic forest	tropical moist broadleaf forest biome	Rainforest	Humid	Spring	Liana	leaf	562
781	MSV000085119	P5_G9_BG9_01_54585.mzXML	plant	plant_angiospermae	1804197|Stigmaphyllon hatschbachii	2020	solid material, dried	ethyl acetate (100%)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (negative)	reverse phase (C18)	163		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	09/01/2015 12:00	Brazil	not applicable	-13.68629|-39.47950			MSV000085119_163	not applicable	not applicable	not applicable	J	Stigmaphyllon	Atlantic forest	tropical moist broadleaf forest biome	Rainforest	Humid	Spring	Liana	leaf	780
170	MSV000085119	P2_H3_BH3_01_53738.mzXML	plant	plant_angiospermae	1804200|Stigmaphyllon macropodum	2020	solid material, dried	ethanol-water (4:1)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (positive)	reverse phase (C18)	168		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	01/25/2012 12:00	Brazil	not applicable	-15.29227|-39.06815			MSV000085119_168	not applicable	not applicable	not applicable	J	Stigmaphyllon	Atlantic forest	tropical moist broadleaf forest biome	Rainforest	Humid	Summer	Liana	leaf	169
388	MSV000085119	P5_H3_GH3_01_54021.mzXML	plant	plant_angiospermae	1804200|Stigmaphyllon macropodum	2020	solid material, dried	ethyl acetate (100%)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (positive)	reverse phase (C18)	168		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	01/25/2012 12:00	Brazil	not applicable	-15.29227|-39.06815			MSV000085119_168	not applicable	not applicable	not applicable	J	Stigmaphyllon	Atlantic forest	tropical moist broadleaf forest biome	Rainforest	Humid	Summer	Liana	leaf	387
568	MSV000085119	P2_H3_GH3_01_54312.mzXML	plant	plant_angiospermae	1804200|Stigmaphyllon macropodum	2020	solid material, dried	ethanol-water (4:1)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (negative)	reverse phase (C18)	168		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	01/25/2012 12:00	Brazil	not applicable	-15.29227|-39.06815			MSV000085119_168	not applicable	not applicable	not applicable	J	Stigmaphyllon	Atlantic forest	tropical moist broadleaf forest biome	Rainforest	Humid	Summer	Liana	leaf	567
786	MSV000085119	P5_H3_BH3_01_54592.mzXML	plant	plant_angiospermae	1804200|Stigmaphyllon macropodum	2020	solid material, dried	ethyl acetate (100%)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (negative)	reverse phase (C18)	168		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	01/25/2012 12:00	Brazil	not applicable	-15.29227|-39.06815			MSV000085119_168	not applicable	not applicable	not applicable	J	Stigmaphyllon	Atlantic forest	tropical moist broadleaf forest biome	Rainforest	Humid	Summer	Liana	leaf	785
175	MSV000085119	P2_H8_BH8_01_53743.mzXML	plant	plant_angiospermae	1804201|Stigmaphyllon puberulum	2020	solid material, dried	ethanol-water (4:1)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (positive)	reverse phase (C18)	173		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	01/22/2010 12:00	Brazil	not applicable	-14.76242|-39.08476			MSV000085119_173	not applicable	not applicable	not applicable	J	Stigmaphyllon	Atlantic forest	tropical moist broadleaf forest biome	Rainforest	Humid	Summer	Liana	leaf	174
176	MSV000085119	P2_H9_BH9_01_53744.mzXML	plant	plant_angiospermae	1804201|Stigmaphyllon puberulum	2020	solid material, dried	ethanol-water (4:1)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (positive)	reverse phase (C18)	174		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	11/30/2014 12:00	Brazil	not applicable	-13.68629|-39.47950			MSV000085119_174	not applicable	not applicable	not applicable	J	Stigmaphyllon	Atlantic forest	tropical moist broadleaf forest biome	Rainforest	Humid	Spring	Liana	leaf	175
393	MSV000085119	P5_H8_GH8_01_54026.mzXML	plant	plant_angiospermae	1804201|Stigmaphyllon puberulum	2020	solid material, dried	ethyl acetate (100%)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (positive)	reverse phase (C18)	173		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	01/22/2010 12:00	Brazil	not applicable	-14.76242|-39.08476			MSV000085119_173	not applicable	not applicable	not applicable	J	Stigmaphyllon	Atlantic forest	tropical moist broadleaf forest biome	Rainforest	Humid	Summer	Liana	leaf	392
394	MSV000085119	P5_H9_GH9_01_54027.mzXML	plant	plant_angiospermae	1804201|Stigmaphyllon puberulum	2020	solid material, dried	ethyl acetate (100%)	sulfachloropyridazine	impact HD|MS:1002667	electrospray ionization (positive)	reverse phase (C18)	174		not applicable	leaf	not applicable	not applicable	not applicable	not applicable	11/30/2014 12:00	Brazil	not applicable	-13.68629|-39.47950			MSV000085119_174	not applicable	not applicable	not applicable	J	Stigmaphyllon	Atlantic forest	tropical moist broadleaf forest biome	Rainforest	Humid	Spring	Liana	leaf	393
