MassiveID	filename	SampleType	NCBITaxonomy	MassSpectrometer	BiologicalSex	AgeInYears	UBERONBodyPartName	HealthStatus	DOIDCommonName	Ethnicity	SocialEconomicalStatus	ATTRIBUTE_diet	ATTRIBUTE_sample_phase
MSV000086988	NIST_NEG_Samp_07-03.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not applicable	not applicable	feces	not applicable	not applicable	not applicable	not applicable	omnivore	lyophilized sample
MSV000086988	NIST_NEG_Samp_08-01.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not applicable	not applicable	feces	not applicable	not applicable	not applicable	not applicable	omnivore	lyophilized sample
MSV000086988	NIST_NEG_Samp_08-02.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not applicable	not applicable	feces	not applicable	not applicable	not applicable	not applicable	omnivore	lyophilized sample
MSV000086988	NIST_NEG_Samp_08-03.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not applicable	not applicable	feces	not applicable	not applicable	not applicable	not applicable	omnivore	lyophilized sample
MSV000086988	NIST_NEG_Samp_09-01.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not applicable	not applicable	feces	not applicable	not applicable	not applicable	not applicable	omnivore	lyophilized sample
MSV000086988	NIST_NEG_Samp_09-02.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not applicable	not applicable	feces	not applicable	not applicable	not applicable	not applicable	omnivore	lyophilized sample
MSV000086988	NIST_NEG_Samp_09-03.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not applicable	not applicable	feces	not applicable	not applicable	not applicable	not applicable	omnivore	lyophilized sample
MSV000086988	NIST_NEG_Samp_10-01.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not applicable	not applicable	feces	not applicable	not applicable	not applicable	not applicable	vegetarian	lyophilized sample
MSV000086988	NIST_NEG_Samp_10-02.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not applicable	not applicable	feces	not applicable	not applicable	not applicable	not applicable	vegetarian	lyophilized sample
MSV000086988	NIST_NEG_Samp_10-03.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not applicable	not applicable	feces	not applicable	not applicable	not applicable	not applicable	vegetarian	lyophilized sample
MSV000086988	NIST_NEG_Samp_11-01.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not applicable	not applicable	feces	not applicable	not applicable	not applicable	not applicable	vegetarian	lyophilized sample
MSV000086988	NIST_NEG_Samp_11-02.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not applicable	not applicable	feces	not applicable	not applicable	not applicable	not applicable	vegetarian	lyophilized sample
MSV000086988	NIST_NEG_Samp_11-03.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not applicable	not applicable	feces	not applicable	not applicable	not applicable	not applicable	vegetarian	lyophilized sample
MSV000086988	NIST_NEG_Samp_12-01.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not applicable	not applicable	feces	not applicable	not applicable	not applicable	not applicable	vegetarian	lyophilized sample
MSV000086988	NIST_NEG_Samp_12-02.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not applicable	not applicable	feces	not applicable	not applicable	not applicable	not applicable	vegetarian	lyophilized sample
MSV000086988	NIST_NEG_Samp_12-03.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not applicable	not applicable	feces	not applicable	not applicable	not applicable	not applicable	vegetarian	lyophilized sample
MSV000086988	NIST_NEG_Samp_13-01.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not applicable	not applicable	feces	not applicable	not applicable	not applicable	not applicable	omnivore	aqueous sample
MSV000086988	NIST_NEG_Samp_13-02.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not applicable	not applicable	feces	not applicable	not applicable	not applicable	not applicable	omnivore	aqueous sample
MSV000086988	NIST_NEG_Samp_13-03.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not applicable	not applicable	feces	not applicable	not applicable	not applicable	not applicable	omnivore	aqueous sample
MSV000086988	NIST_NEG_Samp_14-01.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not applicable	not applicable	feces	not applicable	not applicable	not applicable	not applicable	omnivore	aqueous sample
MSV000086988	NIST_NEG_Samp_14-02.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not applicable	not applicable	feces	not applicable	not applicable	not applicable	not applicable	omnivore	aqueous sample
MSV000086988	NIST_NEG_Samp_14-03.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not applicable	not applicable	feces	not applicable	not applicable	not applicable	not applicable	omnivore	aqueous sample
MSV000086988	NIST_NEG_Samp_15-01.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not applicable	not applicable	feces	not applicable	not applicable	not applicable	not applicable	omnivore	aqueous sample
MSV000086988	NIST_NEG_Samp_15-02.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not applicable	not applicable	feces	not applicable	not applicable	not applicable	not applicable	omnivore	aqueous sample
MSV000086988	NIST_NEG_Samp_15-03.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not applicable	not applicable	feces	not applicable	not applicable	not applicable	not applicable	omnivore	aqueous sample
MSV000086988	NIST_NEG_Samp_16-01.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not applicable	not applicable	feces	not applicable	not applicable	not applicable	not applicable	vegetarian	aqueous sample
MSV000086988	NIST_NEG_Samp_16-02.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not applicable	not applicable	feces	not applicable	not applicable	not applicable	not applicable	vegetarian	aqueous sample
MSV000086988	NIST_NEG_Samp_16-03.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not applicable	not applicable	feces	not applicable	not applicable	not applicable	not applicable	vegetarian	aqueous sample
