MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters	qiita_sample_name	UniqueSubjectID	LifeStage	UBERONOntologyIndex	DOIDOntologyIndex	NCBIRank	NCBIDivision	ENVOEnvironmentBiome	ENVOEnvironmentMaterial	ENVOEnvironmentBiomeIndex	ENVOEnvironmentMaterialIndex
MSV000100352	Agilent6530_Emr2_neg.mzML	environmental	water_surface		2025.0	liquid, solid phase extraction (C18)	methanol (100%)	HP-0921	6530 Q-TOF LC/MS|MS:1003533	electrospray ionization (negative)	reverse phase (C18)									2/11/2025 15:35	Germany	Urban	51.5603428|6.7076418									large river biome	river water		
MSV000100352	Agilent6530_Ruh1_pos.mzML	environmental	water_surface		2025.0	liquid, solid phase extraction (C18)	methanol (100%)	HP-0921; purine	6530 Q-TOF LC/MS|MS:1003533	electrospray ionization (positive)	reverse phase (C18)									2/11/2025 18:36	Germany	Urban	51.3814382|6.9027112									large river biome	river water		
MSV000100352	Agilent6530_Ruh1_neg.mzML	environmental	water_surface		2025.0	liquid, solid phase extraction (C18)	methanol (100%)	HP-0921	6530 Q-TOF LC/MS|MS:1003533	electrospray ionization (negative)	reverse phase (C18)									2/11/2025 18:36	Germany	Urban	51.3814382|6.9027112									large river biome	river water		
MSV000100352	Agilent6530_Ruh2_pos.mzML	environmental	water_surface		2025.0	liquid, solid phase extraction (C18)	methanol (100%)	HP-0921; purine	6530 Q-TOF LC/MS|MS:1003533	electrospray ionization (positive)	reverse phase (C18)									2/11/2025 17:42	Germany	Urban	51.4455213|6.7298569									large river biome	river water		
MSV000100352	Agilent6530_Ruh2_neg.mzML	environmental	water_surface		2025.0	liquid, solid phase extraction (C18)	methanol (100%)	HP-0921	6530 Q-TOF LC/MS|MS:1003533	electrospray ionization (negative)	reverse phase (C18)									2/11/2025 17:42	Germany	Urban	51.4455213|6.7298569									large river biome	river water		
MSV000100352	Agilent6530_Rhi1_pos.mzML	environmental	water_surface		2025.0	liquid, solid phase extraction (C18)	methanol (100%)	HP-0921; purine	6530 Q-TOF LC/MS|MS:1003533	electrospray ionization (positive)	reverse phase (C18)									2/11/2025 17:12	Germany	Urban	51.4356477|6.7155188									large river biome	river water		
MSV000100352	Agilent6530_Rhi1_neg.mzML	environmental	water_surface		2025.0	liquid, solid phase extraction (C18)	methanol (100%)	HP-0921	6530 Q-TOF LC/MS|MS:1003533	electrospray ionization (negative)	reverse phase (C18)									2/11/2025 17:12	Germany	Urban	51.4356477|6.7155188									large river biome	river water		
MSV000100352	Agilent6530_Rhi2_pos.mzML	environmental	water_surface		2025.0	liquid, solid phase extraction (C18)	methanol (100%)	HP-0921; purine	6530 Q-TOF LC/MS|MS:1003533	electrospray ionization (positive)	reverse phase (C18)									2/11/2025 16:24	Germany	Urban	51.5257625|6.7004049									large river biome	river water		
MSV000100352	Agilent6530_Rhi2_neg.mzML	environmental	water_surface		2025.0	liquid, solid phase extraction (C18)	methanol (100%)	HP-0921	6530 Q-TOF LC/MS|MS:1003533	electrospray ionization (negative)	reverse phase (C18)									2/11/2025 16:24	Germany	Urban	51.5257625|6.7004049									large river biome	river water		
MSV000100352	Agilent6530_Rhi3_pos.mzML	environmental	water_surface		2025.0	liquid, solid phase extraction (C18)	methanol (100%)	HP-0921; purine	6530 Q-TOF LC/MS|MS:1003533	electrospray ionization (positive)	reverse phase (C18)									2/11/2025 14:53	Germany	Urban	51.6274708|6.5868140									large river biome	river water		
MSV000100352	Agilent6530_Rhi3_neg.mzML	environmental	water_surface		2025.0	liquid, solid phase extraction (C18)	methanol (100%)	HP-0921	6530 Q-TOF LC/MS|MS:1003533	electrospray ionization (negative)	reverse phase (C18)									2/11/2025 14:53	Germany	Urban	51.6274708|6.5868140									large river biome	river water		
MSV000100352	Agilent6530_Rhi4_pos.mzML	environmental	water_surface		2025.0	liquid, solid phase extraction (C18)	methanol (100%)	HP-0921; purine	6530 Q-TOF LC/MS|MS:1003533	electrospray ionization (positive)	reverse phase (C18)									2/11/2025 14:17	Germany	Urban	51.6566550|6.5514528									large river biome	river water		
MSV000100352	Agilent6530_Rhi4_neg.mzML	environmental	water_surface		2025.0	liquid, solid phase extraction (C18)	methanol (100%)	HP-0921	6530 Q-TOF LC/MS|MS:1003533	electrospray ionization (negative)	reverse phase (C18)									2/11/2025 14:17	Germany	Urban	51.6566550|6.5514528									large river biome	river water		
