filename	SampleTypeSub1	UBERONBodyPartName	MassiveID	SampleType	NCBITaxonomy
P2_B8_G87558.mzML	food_source_plant	fruit	MSV000096584	food	2711|Citrus sinensis
P2_E5_G87559.mzML	food_source_plant	fruit	MSV000096584	food	2711|Citrus sinensis
P2_D12_G87580.mzML	food_source_plant	tuber	MSV000096584	food	4113|Solanum tuberosum
P2_D6_G87581.mzML	food_source_plant	tuber	MSV000096584	food	4113|Solanum tuberosum
P2_C6_G87582.mzML	food_source_plant	tuber	MSV000096584	food	4113|Solanum tuberosum
P2_B11_G87594.mzML	food_source_plant	fruit	MSV000096584	food	2711|Citrus sinensis
P5_E1_G95769.mzML	food_source_plant	leaf	MSV000096584	food	NA|x
P5_D5_G95770.mzML	food_source_plant	leaf	MSV000096584	food	NA|x
P5_D4_G95771.mzML	food_source_plant	leaf	MSV000096584	food	NA|x
P5_D3_G95772.mzML	food_source_plant	leaf	MSV000096584	food	NA|x
P5_D2_G95774.mzML	food_source_plant	leaf	MSV000096584	food	NA|x
P5_D1_G95775.mzML	food_source_plant	leaf	MSV000096584	food	NA|x
P5_C12_G95776.mzML	food_source_plant	leaf	MSV000096584	food	NA|x
P5_C11_G95777.mzML	food_source_plant	leaf	MSV000096584	food	NA|x
P5_C5_G95778.mzML	food_source_plant	leaf	MSV000096584	food	NA|x
P5_C6_G95779.mzML	food_source_plant	leaf	MSV000096584	food	NA|x
P5_C7_G95781.mzML	food_source_plant	leaf	MSV000096584	food	NA|x
P5_C8_G95782.mzML	food_source_plant	leaf	MSV000096584	food	NA|x
P5_C9_G95783.mzML	food_source_plant	leaf	MSV000096584	food	NA|x
P5_D6_G95784.mzML	food_source_plant	leaf	MSV000096584	food	NA|x
P5_C10_G95785.mzML	food_source_plant	leaf	MSV000096584	food	NA|x
P5_D7_G95786.mzML	food_source_plant	leaf	MSV000096584	food	NA|x
P5_B12_G95787.mzML	food_source_plant	leaf	MSV000096584	food	NA|x
P5_C1_G95789.mzML	food_source_plant	leaf	MSV000096584	food	NA|x
P5_C2_G95790.mzML	food_source_plant	leaf	MSV000096584	food	NA|x
P5_C3_G95791.mzML	food_source_plant	leaf	MSV000096584	food	NA|x
P5_C4_G95792.mzML	food_source_plant	leaf	MSV000096584	food	NA|x
P5_F1_G95967.mzML	food_source_animal	milk	MSV000096584	food	NA|x
P5_B5_G96215.mzML	food_source_animal		MSV000096584	food	NA|x
P5_B4_G96216.mzML	food_source_animal		MSV000096584	food	NA|x
P5_B3_G96217.mzML	food_source_animal		MSV000096584	food	NA|x
P5_B2_G96218.mzML	food_source_animal		MSV000096584	food	9913|Bos taurus
P5_B1_G96219.mzML	food_source_animal		MSV000096584	food	9913|Bos taurus
P5_A12_G96220.mzML	food_source_animal		MSV000096584	food	9913|Bos taurus
P5_A11_G96221.mzML	food_source_animal		MSV000096584	food	NA|x
P5_A10_G96222.mzML	food_source_animal		MSV000096584	food	NA|x
P5_D12_G96223.mzML	food_source_animal		MSV000096584	food	NA|x
P5_A7_G96224.mzML	food_source_animal		MSV000096584	food	9913|Bos taurus
P5_A8_G96225.mzML	food_source_animal		MSV000096584	food	9913|Bos taurus
P5_A9_G96226.mzML	food_source_animal		MSV000096584	food	9913|Bos taurus
P5_D8_G96239.mzML	food_source_animal		MSV000096584	food	NA|x
P5_D9_G96241.mzML	food_source_animal		MSV000096584	food	NA|x
P5_D11_G96246.mzML	food_source_animal		MSV000096584	food	NA|x
P5_B6_G96247.mzML	food_source_animal		MSV000096584	food	NA|x
P5_B7_G96265.mzML	food_source_animal		MSV000096584	food	NA|x
