MassiveID	filename	qiita_sample_name	NCBITaxonomy	LatitudeandLongitude	SampleCollectionDateandTime	DepthorAltitudeMeters	ENVOEnvironmentBiome	UBERONBodyPartName	ENVOEnvironmentMaterial	BiologicalSex	SubjectIdentifierAsRecorded	SampleType	emp500_shotgun_assembly_sample_name	cur_land_use	cur_vegetation	depth_sample	description	diet_category_12	diet_category_3	dominant_cover_2m	captive_wild	emp500_study_id	emp500_title	empo_2	empo_3	empo_4	empo_salinity	empo_v2_2	empo_v2_3a	empo_v2_3b	empo_v2_4a	empo_v2_4b	env_feature	env_material	env_package	environmental_package	host_body_product	host_body_site	host_class	host_common_name	host_common_name_provided	host_diet	host_disease_stat	host_family	host_family_relationship	host_flight	host_head_width_mm	host_height	host_last_meal	host_length_mm	host_life_stage	lcms_batch	lcms_extraction_protocol	lcms_position	lcms_replicate
MSV000083475	8h2_seedorf71-pp3soil-12.mzML	13114.seedorf.71.s014	not applicable|Not applicable	1.294588|103.776828	2/24/2016 8:35:00	50	cropland biome	not applicable	agricultural soil	not applicable	palm tree plantation soil	environmental	soil_palm_plantations	not applicable	not applicable	0	soil from directly below planted tenera type African oil palm	not applicable	not applicable	not applicable	not applicable	71	singapore plant-associated soils	Non-saline	Soil (non-saline)	Soil (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Solid (non-saline)	Soil (non-saline)	Soil (non-saline)	oil palm plantation	surface soil	soil	soil	not applicable	not applicable	not applicable	soil	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	0	not applicable	not applicable	not applicable	8	bulk_seed_pnnl	8h2	no
MSV000083475	8e1_schmidt56-soil-nepal-1.mzML	13114.schmidt.56.s001	not applicable|Not applicable	28.72122816|83.91438789	11/5/2015 0:00:00	5110	desert biome	not applicable	alpine soil	not applicable	nep1.p1.y1	environmental	soil_alpine	natural high alpine field	not applicable	0.05	soil sample from high elevation sites in the Mustang Region in Nepal	not applicable	not applicable	not applicable	not applicable	56	peru and nepal alpine soils	Non-saline	Soil (non-saline)	Soil (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Solid (non-saline)	Soil (non-saline)	Soil (non-saline)	montane desert	alpine soil	soil	soil	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	8	bulk_seed_pnnl	8.00E+01	no
MSV000083475	8f6_schmidt56-soil-nepal-2.mzML	13114.schmidt.56.s002	not applicable|Not applicable	28.72122816|83.91438789	11/5/2015 0:00:00	5110	desert biome	not applicable	alpine soil	not applicable	nep1.p2.y1	environmental	soil_alpine	natural high alpine field	not applicable	0.05	soil sample from high elevation sites in the Mustang Region in Nepal	not applicable	not applicable	not applicable	not applicable	56	peru and nepal alpine soils	Non-saline	Soil (non-saline)	Soil (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Solid (non-saline)	Soil (non-saline)	Soil (non-saline)	montane desert	alpine soil	soil	soil	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	8	bulk_seed_pnnl	8f6	no
MSV000083475	8e6_schmidt56-soil-nepal-3.mzML	13114.schmidt.56.s003	not applicable|Not applicable	28.72122816|83.91438789	11/5/2015 0:00:00	5110	desert biome	not applicable	alpine soil	not applicable	nep1.p3.y1	environmental	soil_alpine	natural high alpine field	not applicable	0.05	soil sample from high elevation sites in the Mustang Region in Nepal	not applicable	not applicable	not applicable	not applicable	56	peru and nepal alpine soils	Non-saline	Soil (non-saline)	Soil (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Solid (non-saline)	Soil (non-saline)	Soil (non-saline)	montane desert	alpine soil	soil	soil	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	8	bulk_seed_pnnl	8.00E+06	no
MSV000083475	8e4_schmidt56-soil-nepal-4.mzML	13114.schmidt.56.s004	not applicable|Not applicable	28.72122816|83.91438789	11/5/2015 0:00:00	5110	desert biome	not applicable	alpine soil	not applicable	nep1.p4.y1	environmental	soil_alpine	natural high alpine field	not applicable	0.05	soil sample from high elevation sites in the Mustang Region in Nepal	not applicable	not applicable	not applicable	not applicable	56	peru and nepal alpine soils	Non-saline	Soil (non-saline)	Soil (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Solid (non-saline)	Soil (non-saline)	Soil (non-saline)	montane desert	alpine soil	soil	soil	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	8	bulk_seed_pnnl	8.00E+04	no
MSV000083475	8f2_schmidt56-soil-nepal-5.mzML	13114.schmidt.56.s005	not applicable|Not applicable	28.72122816|83.91438789	11/5/2015 0:00:00	5110	desert biome	not applicable	alpine soil	not applicable	nep1.p5.y1	environmental	soil_alpine	natural high alpine field	not applicable	0.05	soil sample from high elevation sites in the Mustang Region in Nepal	not applicable	not applicable	not applicable	not applicable	56	peru and nepal alpine soils	Non-saline	Soil (non-saline)	Soil (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Solid (non-saline)	Soil (non-saline)	Soil (non-saline)	montane desert	alpine soil	soil	soil	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	8	bulk_seed_pnnl	8f2	no
MSV000083475	8f12_schmidt56-soil-nepal-6.mzML	13114.schmidt.56.s006	not applicable|Not applicable	28.72122816|83.91438789	11/5/2015 0:00:00	5110	desert biome	not applicable	alpine soil	not applicable	nep1.p6.y1	environmental	soil_alpine	natural high alpine field	not applicable	0.05	soil sample from high elevation sites in the Mustang Region in Nepal	not applicable	not applicable	not applicable	not applicable	56	peru and nepal alpine soils	Non-saline	Soil (non-saline)	Soil (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Solid (non-saline)	Soil (non-saline)	Soil (non-saline)	montane desert	alpine soil	soil	soil	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	8	bulk_seed_pnnl	8f12	no
MSV000083475	8e9_schmidt56-soil-nepal-7.mzML	13114.schmidt.56.s007	not applicable|Not applicable	28.72122816|83.91438789	11/5/2015 0:00:00	5110	desert biome	not applicable	alpine soil	not applicable	nep1.p7.y1	environmental	soil_alpine	natural high alpine field	not applicable	0.05	soil sample from high elevation sites in the Mustang Region in Nepal	not applicable	not applicable	not applicable	not applicable	56	peru and nepal alpine soils	Non-saline	Soil (non-saline)	Soil (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Solid (non-saline)	Soil (non-saline)	Soil (non-saline)	montane desert	alpine soil	soil	soil	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	8	bulk_seed_pnnl	8.00E+09	no
MSV000083475	8f5_schmidt56-soil-nepal-8.mzML	13114.schmidt.56.s008	not applicable|Not applicable	28.72122816|83.91438789	11/5/2015 0:00:00	5110	desert biome	not applicable	alpine soil	not applicable	nep1.p8.y1	environmental	soil_alpine	natural high alpine field	not applicable	0.05	soil sample from high elevation sites in the Mustang Region in Nepal	not applicable	not applicable	not applicable	not applicable	56	peru and nepal alpine soils	Non-saline	Soil (non-saline)	Soil (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Solid (non-saline)	Soil (non-saline)	Soil (non-saline)	montane desert	alpine soil	soil	soil	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	8	bulk_seed_pnnl	8f5	no
MSV000083475	8e8_schmidt56-soil-nepal-5096.mzML	13114.schmidt.56.s009	not applicable|Not applicable	28.72122816|83.91438789	11/5/2015 0:00:00	5096	desert biome	not applicable	alpine soil	not applicable	nep1.p9.y1	environmental	soil_alpine	natural high alpine field	not applicable	0.05	soil sample from high elevation sites in the Mustang Region in Nepal	not applicable	not applicable	not applicable	not applicable	56	peru and nepal alpine soils	Non-saline	Soil (non-saline)	Soil (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Solid (non-saline)	Soil (non-saline)	Soil (non-saline)	montane desert	alpine soil	soil	soil	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	8	bulk_seed_pnnl	8.00E+08	no
MSV000083475	8f1_schmidt56-soil-nepal-5100.mzML	13114.schmidt.56.s010	not applicable|Not applicable	28.72143219|83.91454704	11/5/2015 0:00:00	5100	desert biome	not applicable	alpine soil	not applicable	nep1.p10.y1	environmental	soil_alpine	natural high alpine field	not applicable	0.05	soil sample from high elevation sites in the Mustang Region in Nepal	not applicable	not applicable	not applicable	not applicable	56	peru and nepal alpine soils	Non-saline	Soil (non-saline)	Soil (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Solid (non-saline)	Soil (non-saline)	Soil (non-saline)	montane desert	alpine soil	soil	soil	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	8	bulk_seed_pnnl	8f1	no
