MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	SampleCollectionDateandTime	Country	LatitudeandLongitude	DepthorAltitudeMeters	Attribute_Set	ATTRIBUTE_Unique ID	ATTRIBUTE_Processing_Plate	ATTRIBUTE_Processing_Row	ATTRIBUTE_Processing_Column	ATTRIBUTE_Processing_Position	ATTRIBUTE_Code	ATTRIBUTE_Host	ATTRIBUTE_Microbiome	ATTRIBUTE_Treatment	ATTRIBUTE_QC	id
MSV000095905	MCMK_RTE2023_Exploris240_629_R1.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris1416	electrospray ionization (positive)	reverse phase (C18)	629	06/27/2023 11:08	United States of America	32.52416|117.14276	132	2	629	P	E	9	E09	NM22-CR16-C	NM22	CR16	C	Co-culture_of_hosts	119
MSV000095905	MCMK_RTE2023_Exploris240_629_R2.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris1417	electrospray ionization (positive)	reverse phase (C18)	629	06/27/2023 11:08	United States of America	32.52416|117.14276	132	2	629	P	E	10	E10	NM22-CR16-C	NM22	CR16	C	Co-culture_of_hosts	120
MSV000095905	MCMK_RTE2023_Exploris240_639_R1.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris1438	electrospray ionization (positive)	reverse phase (C18)	639	06/27/2023 14:21	United States of America	32.52416|117.14276	132	4	639	Q	A	1	A01	NM22-CR16-S	NM22	CR16	S	Co-culture_of_hosts	141
MSV000095905	MCMK_RTE2023_Exploris240_639_R2.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris1439	electrospray ionization (positive)	reverse phase (C18)	639	06/27/2023 14:21	United States of America	32.52416|117.14276	132	4	639	Q	A	2	A02	NM22-CR16-S	NM22	CR16	S	Co-culture_of_hosts	142
MSV000095905	MCMK_RTE2023_Exploris240_422_R1.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris958	electrospray ionization (positive)	reverse phase (C18)	422	05/30/2023 20:49	United States of America	32.52416|117.14276	132	1	422	K	C	9	C09	NM22-CR16-C	NM22	CR16	C	Contains_wrong_host	71
MSV000095905	MCMK_RTE2023_Exploris240_422_R2.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris959	electrospray ionization (positive)	reverse phase (C18)	422	05/30/2023 20:49	United States of America	32.52416|117.14276	132	1	422	K	C	10	C10	NM22-CR16-C	NM22	CR16	C	Contains_wrong_host	72
MSV000095905	MCMK_RTE2023_Exploris240_154_R1.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris362	electrospray ionization (positive)	reverse phase (C18)	154	04-04-2023 13:35	United States of America	32.52416|117.14276	132	6	154	E	E	7	E07	NM22-CR16-S	NM22	CR16	S	Passed_QC	6
MSV000095905	MCMK_RTE2023_Exploris240_154_R2.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris363	electrospray ionization (positive)	reverse phase (C18)	154	04-04-2023 13:35	United States of America	32.52416|117.14276	132	6	154	E	E	8	E08	NM22-CR16-S	NM22	CR16	S	Passed_QC	7
MSV000095905	MCMK_RTE2023_Exploris240_244_R1.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris562	electrospray ionization (positive)	reverse phase (C18)	244	05-02-2023 11:07	United States of America	32.52416|117.14276	132	2	244	G	G	9	G09	NM22-CR16-C	NM22	CR16	C	Passed_QC	25
MSV000095905	MCMK_RTE2023_Exploris240_244_R2.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris563	electrospray ionization (positive)	reverse phase (C18)	244	05-02-2023 11:07	United States of America	32.52416|117.14276	132	2	244	G	G	10	G10	NM22-CR16-C	NM22	CR16	C	Passed_QC	26
