MassiveID	filename	SampleType	SampleTypeSub1	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters	qiita_sample_name	LifeStage	UBERONOntologyIndex	DOIDOntologyIndex	sample_code_rosetta	ATTRIBUTE_STATION	ATTRIBUTE_DEPTH	ATTRIBUTE_temp	ATTRIBUTE_sal	ATTRIBUTE_Sbeox0Mg/L	ATTRIBUTE_par	ATTRIBUTE_par1	ATTRIBUTE_spar	ATTRIBUTE_fl-eco-afl	ATTRIBUTE_turb	ATTRIBUTE_CStarTr0.(%)	ATTRIBUTE_Leu_ratio	ATTRIBUTE_leu.ratio.st.des	ATTRIBUTE_LONGHURST	ATTRIBUTE_LONGHURST_name
MSV000096004	AN1WDOC_PPL_021_NEG.mzML	environmental	dissolvedorganicmatter_water_saline	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Orbitrap Eclipse|MS:1003029	electrospray ionization (negative)	reverse phase (C18)	not specified	not specified	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	12/24/2020 09.00	not applicable	not applicable	18.87|-28.319	-85.0	not specified	not specified	not applicable	not applicable	AN1_ST07_DCM	ST07	DCM	20.83519	36.83472	5.819167	1.402033	1.074478	1083.044	0.378689	0.207122	98.46942	3.141378	0.544232	NATR	North Atlantic Tropical East
MSV000096004	AN1WDOC_PPL_022_NEG_exp.mzML	environmental	dissolvedorganicmatter_water_saline	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Orbitrap Eclipse|MS:1003029	electrospray ionization (negative)	reverse phase (C18)	not specified	not specified	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	12/24/2020 09.00	not applicable	not applicable	18.87|-28.319	-5.0	not specified	not specified	not applicable	not applicable	AN1_DOCLAB_EXP1_1A		surf													
MSV000096004	AN1WDOC_PPL_023_NEG.mzML	environmental	dissolvedorganicmatter_water_saline	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Orbitrap Eclipse|MS:1003029	electrospray ionization (negative)	reverse phase (C18)	not specified	not specified	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	12/25/2020 09.00	not applicable	not applicable	14.97|-28.77	-5.0	not specified	not specified	not applicable	not applicable	AN1_ST08_SURF	ST08	surf	25.45619	35.45672	6.4777	223.1486	190.1714	528.8914	0.079857	0.2343	98.08949	14.71521	6.831936	NATR	North Atlantic Tropical East
MSV000096004	AN1WDOC_PPL_024_NEG.mzML	environmental	dissolvedorganicmatter_water_saline	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Orbitrap Eclipse|MS:1003029	electrospray ionization (negative)	reverse phase (C18)	not specified	not specified	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	12/26/2020 09.00	not applicable	not applicable	10.87|-29.23	-5.0	not specified	not specified	not applicable	not applicable	AN1_ST09_SURF	ST09	surf	26.41257	35.56097	6.359056	13.35489	12.15322	20.635	0.092856	0.2269	97.89204	16.75327	4.29718	WTRA	Western Tropical Atlantic
MSV000096004	AN1WDOC_PPL_025_NEG.mzML	environmental	dissolvedorganicmatter_water_saline	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Orbitrap Eclipse|MS:1003029	electrospray ionization (negative)	reverse phase (C18)	not specified	not specified	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	12/26/2020 09.00	not applicable	not applicable	10.87|-29.23	-60.0	not specified	not specified	not applicable	not applicable	AN1_ST09_DCM	ST09	DCM	18.76431	35.79935	4.01898	0.46325	0.322488	18.6468	0.70995	0.22598	97.52256	19.22146	1.252241	WTRA	Western Tropical Atlantic
MSV000096004	AN1WDOC_PPL_026_NEG.mzML	environmental	dissolvedorganicmatter_water_saline	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Orbitrap Eclipse|MS:1003029	electrospray ionization (negative)	reverse phase (C18)	not specified	not specified	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	12/26/2020 09.00	not applicable	not applicable	10.87|-29.23	-50.0	not specified	not specified	not applicable	not applicable	AN1_ST09_DEEP1	ST09	1%PAR	19.96724	35.85348	4.609678	0.850147	0.660553	19.48367	0.725522	0.224089	97.41436			WTRA	Western Tropical Atlantic
MSV000096004	AN1WDOC_PPL_027_NEG.mzML	environmental	dissolvedorganicmatter_water_saline	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Orbitrap Eclipse|MS:1003029	electrospray ionization (negative)	reverse phase (C18)	not specified	not specified	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	12/26/2020 09.00	not applicable	not applicable	10.87|-29.23	-400.0	not specified	not specified	not applicable	not applicable	AN1_ST09_DEEP3	ST09	depth1	10.51349	35.15079	1.3982	0.078412	0.000492	1780.989	-0.09284	0.196278	98.99059			WTRA	Western Tropical Atlantic
MSV000096004	AN1WDOC_PPL_028_NEG.mzML	environmental	dissolvedorganicmatter_water_saline	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Orbitrap Eclipse|MS:1003029	electrospray ionization (negative)	reverse phase (C18)	not specified	not specified	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	12/26/2020 09.00	not applicable	not applicable	10.87|-29.23	-2000.0	not specified	not specified	not applicable	not applicable	AN1_ST09_DEEP4	ST09	depth2	3.5766	34.96057	7.570467	0.078412	0.000471	1457.922	-0.01504	0.196667	99.1351			WTRA	Western Tropical Atlantic
MSV000096004	AN1WDOC_PPL_029_NEG.mzML	environmental	dissolvedorganicmatter_water_saline	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Orbitrap Eclipse|MS:1003029	electrospray ionization (negative)	reverse phase (C18)	not specified	not specified	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	12/27/2020 09.00	not applicable	not applicable	7.34|-29.581	-5.0	not specified	not specified	not applicable	not applicable	AN1_ST10_SURF	ST10	surf	27.46196	34.9785	6.32925	472.0543	397.22	1457.757	0.050379	0.228729	97.86356	23.91543	4.976687	WTRA	Western Tropical Atlantic
MSV000096004	AN1WDOC_PPL_030_NEG.mzML	environmental	dissolvedorganicmatter_water_saline	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Orbitrap Eclipse|MS:1003029	electrospray ionization (negative)	reverse phase (C18)	not specified	not specified	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	12/28/2020 09.00	not applicable	not applicable	3.83|-29.86	-5.0	not specified	not specified	not applicable	not applicable	AN1_ST11_SURF	ST11	surf	27.92995	35.41465	6.253864	65.56064	62.78127	105.8045	0.079545	0.2166	98.36604	18.40342	4.318957	WTRA	Western Tropical Atlantic
