filename	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	YearOfAnalysis	Country	ENVOEnvironmentBiome	ENVOEnvironmentMaterial	InternalStandardsUsed	SampleExtractionMethod	SampleType	SampleTypeSub1	MassiveID
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_60_Neg-D45_C_Rg70to1050-CE102040-soil-S1_Run225.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_61_Neg-D89_A_Rg70to1050-CE102040-soil-S1_Run63.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_62_Neg-D89_B_Rg70to1050-CE205060-soil-S1_Run133.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_63_Neg-D89_C_Rg70to1050-CE102040-soil-S1_Run210.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_64_Sterile-sand_A_Rg70to1050-CE102040-soil-S1_Run35.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_66_Sterile-BGramaLit_A_Rg70to1050-CE102040-soil-S1_Run47.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_67_Sterile-sand_B_Rg70to1050-CE205060-soil-S1_Run136.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_69_Sterile-BGramaLit_B_Rg70to1050-CE205060-soil-S1_Run158.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_6_S17-D30_C_Rg70to1050-CE102040-soil-S1_Run170.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
20210819_JGI-AK_MK_506588_SoilWaterRep_final_QE-139_HILICZ_USHXG01490_NEG_MSMS_70_Sterile-sand_C_Rg70to1050-CE102040-soil-S1_Run161.mzML	Q Exactive|MS:1001911	electrospray ionization (negative)	normal phase (HILIC)	2021	United States of America	terrestrial biome	soil	not specified	water (100%) (deg_C_NOS)	environmental	culture_multiplespecies	MSV000094090
