MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	SubjectIdentifierAsRecorded	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded.1	SampleCollectionDateandTime	Country	LatitudeandLongitude	ATTRIBUTE_tank	ATTRIBUTE_culture	ATTRIBUTE_treat	ATTRIBUTE_pop	ATTRIBUTE_volume	ATTRIBUTE_batch	ATTRIBUTE_extr_no	Filename	Spe_elution_label
MSV000096471	T5-PP-R5.mzML	plant	dissolvedorganicmatter_water_saline	29655|Zostera marina	2024	liquid, solid phase extraction (PPL)	methanol-water (3:2)	none	T5-PP-R5	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)	T5-PP-R5	10/10/2022 9:25:00	United States of America	38.318639832515096|-123.07160615397322	5.0	poly	c	PP	65.0	3	24	T5-PP-R5	#24_T5-PP-R5
MSV000096471	T6-BL-R3.mzML	plant	dissolvedorganicmatter_water_saline	29655|Zostera marina	2024	liquid, solid phase extraction (PPL)	methanol-water (3:2)	none	T6-BL-R3	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)	T6-BL-R3	10/10/2022 8:05:00	United States of America	38.318639832515096|-123.07160615397322	6.0	mono	h	BL	65.0	3	25	T6-BL-R3	#25_T6-BL-R3
MSV000096471	T6-MP-R7.mzML	plant	dissolvedorganicmatter_water_saline	29655|Zostera marina	2024	liquid, solid phase extraction (PPL)	methanol-water (3:2)	none	T6-MP-R7	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)	T6-MP-R7	10/10/2022 8:05:00	United States of America	38.318639832515096|-123.07160615397322	6.0	mono	h	MP	75.0	3	26	T6-MP-R7	#26_T6-MP-R7
MSV000096471	T1-BL-R3.mzML	plant	dissolvedorganicmatter_water_saline	29655|Zostera marina	2024	liquid, solid phase extraction (PPL)	methanol-water (3:2)	none	T1-BL-R3	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)	T1-BL-R3	10/10/2022 8:30:00	United States of America	38.318639832515096|-123.07160615397322	1.0	mono	c	BL	80.0	3	27	T1-BL-R3	#27_T1-BL-R3
MSV000096471	T1-OG-R5.mzML	plant	dissolvedorganicmatter_water_saline	29655|Zostera marina	2024	liquid, solid phase extraction (PPL)	methanol-water (3:2)	none	T1-OG-R5	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)	T1-OG-R5	10/10/2022 8:30:00	United States of America	38.318639832515096|-123.07160615397322	1.0	mono	c	OG	100.0	3	28	T1-OG-R5	#28_T1-OG-R5
MSV000096471	T6-PP-R3.mzML	plant	dissolvedorganicmatter_water_saline	29655|Zostera marina	2024	liquid, solid phase extraction (PPL)	methanol-water (3:2)	none	T6-PP-R3	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)	T6-PP-R3	10/10/2022 8:05:00	United States of America	38.318639832515096|-123.07160615397322	6.0	poly	h	PP	100.0	3	29	T6-PP-R3	#29_T6-PP-R3
MSV000096471	Blank-3.mzML	blank_extraction	blank_extraction	29655|Zostera marina	2024	liquid, solid phase extraction (PPL)	methanol-water (3:2)	none	Blank-3	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)	Blank-3		United States of America	38.318639832515096|-123.07160615397322						3	30	Blank-3	#30_Blank-3
MSV000096471	T2-OG-R5.mzML	plant	dissolvedorganicmatter_water_saline	29655|Zostera marina	2024	liquid, solid phase extraction (PPL)	methanol-water (3:2)	none	T2-OG-R5	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)	T2-OG-R5	10/10/2022 9:15:00	United States of America	38.318639832515096|-123.07160615397322	2.0	mono	h	OG	100.0	4	31	T2-OG-R5	#31_T2-OG-R5
MSV000096471	T6-MP-R3.mzML	plant	dissolvedorganicmatter_water_saline	29655|Zostera marina	2024	liquid, solid phase extraction (PPL)	methanol-water (3:2)	none	T6-MP-R3	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)	T6-MP-R3	10/10/2022 8:05:00	United States of America	38.318639832515096|-123.07160615397322	6.0	mono	h	MP	100.0	4	32	T6-MP-R3	#32_T6-MP-R3
MSV000096471	T3-PP-R5.mzML	plant	dissolvedorganicmatter_water_saline	29655|Zostera marina	2024	liquid, solid phase extraction (PPL)	methanol-water (3:2)	none	T3-PP-R5	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)	T3-PP-R5	10/10/2022 8:05:00	United States of America	38.318639832515096|-123.07160615397322	3.0	poly	c	PP	50.0	4	33	T3-PP-R5	#33_T3-PP-R5
MSV000096471	T5-PP-R7.mzML	plant	dissolvedorganicmatter_water_saline	29655|Zostera marina	2024	liquid, solid phase extraction (PPL)	methanol-water (3:2)	none	T5-PP-R7	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)	T5-PP-R7	10/10/2022 9:25:00	United States of America	38.318639832515096|-123.07160615397322	5.0	poly	c	PP	75.0	4	34	T5-PP-R7	#34_T5-PP-R7
MSV000096471	T2-OG-R3.mzML	plant	dissolvedorganicmatter_water_saline	29655|Zostera marina	2024	liquid, solid phase extraction (PPL)	methanol-water (3:2)	none	T2-OG-R3	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)	T2-OG-R3	10/10/2022 9:15:00	United States of America	38.318639832515096|-123.07160615397322	2.0	mono	h	OG	80.0	4	35	T2-OG-R3	#35_T2-OG-R3
MSV000096471	T3-BL-R3.mzML	plant	dissolvedorganicmatter_water_saline	29655|Zostera marina	2024	liquid, solid phase extraction (PPL)	methanol-water (3:2)	none	T3-BL-R3	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)	T3-BL-R3	10/10/2022 8:05:00	United States of America	38.318639832515096|-123.07160615397322	3.0	mono	c	BL	65.0	4	36	T3-BL-R3	#36_T3-BL-R3
MSV000096471	T1-BL-R5.mzML	plant	dissolvedorganicmatter_water_saline	29655|Zostera marina	2024	liquid, solid phase extraction (PPL)	methanol-water (3:2)	none	T1-BL-R5	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)	T1-BL-R5	10/10/2022 8:30:00	United States of America	38.318639832515096|-123.07160615397322	1.0	mono	c	BL	80.0	4	37	T1-BL-R5	#37_T1-BL-R5
MSV000096471	T1-BL-R7.mzML	plant	dissolvedorganicmatter_water_saline	29655|Zostera marina	2024	liquid, solid phase extraction (PPL)	methanol-water (3:2)	none	T1-BL-R7	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)	T1-BL-R7	10/10/2022 8:30:00	United States of America	38.318639832515096|-123.07160615397322	1.0	mono	c	BL	55.0	4	38	T1-BL-R7	#38_T1-BL-R7
MSV000096471	T2-OG-R7.mzML	plant	dissolvedorganicmatter_water_saline	29655|Zostera marina	2024	liquid, solid phase extraction (PPL)	methanol-water (3:2)	none	T2-OG-R7	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)	T2-OG-R7	10/10/2022 9:15:00	United States of America	38.318639832515096|-123.07160615397322	2.0	mono	h	OG	100.0	4	39	T2-OG-R7	#39_T2-OG-R7
